MAG,indicator,season,exchange,phylum,type
M.TR17L.nonMP.25.fa,N,2.may,NA,c__Alphaproteobacteria,onlyNP
M.W.YL4.16.fa,N,2.may,NA,c__Alphaproteobacteria,onlyNP
S.IN2.W.15.fa,N,2.may,NA,c__Alphaproteobacteria,onlyNP
S.TN2.W.33.fa,N,2.may,NA,c__Alphaproteobacteria,onlyNP
S.TN6.W.9.semibin.fa,N,2.may,NA,c__Alphaproteobacteria,onlyNP
S.TR12I.W.31.fa,N,2.may,5,c__Alphaproteobacteria,onlyNP
A.TN6.nonMP.39.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
A.TN6.nonMP.40.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
A.TN6.nonMP.8.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
A.TN6.W.7.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
A.YL4.MP.11.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
M.TR17L.nonMP.25.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
M.W.YL4.16.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
S.IN2.W.15.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
S.TN2.W.33.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
S.TN6.W.9.semibin.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
S.TR12I.W.31.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyNP
A.TN2.nonMP.1.fa,N,1.feb,NA,c__Betaproteobacteria,onlyMP
M.KN5.nonMP.32.fa,N,1.feb,NA,c__Betaproteobacteria,onlyMP
S.TN6.W.6.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyMP
S.TR17L.W.52.fa,N,1.feb,NA,c__Betaproteobacteria,onlyMP
A.TN2.nonMP.1.fa,N,2.may,NA,c__Betaproteobacteria,onlyMP
M.KN5.nonMP.32.fa,Y,2.may,5,c__Betaproteobacteria,onlyMP
S.TN6.W.6.semibin.fa,N,2.may,NA,c__Betaproteobacteria,onlyMP
S.TR17L.W.52.fa,N,2.may,NA,c__Betaproteobacteria,onlyMP
A.TN2.nonMP.1.fa,N,3.nov,NA,c__Betaproteobacteria,onlyMP
M.KN5.nonMP.32.fa,Y,3.nov,NA,c__Betaproteobacteria,onlyMP
S.TN6.W.6.semibin.fa,N,3.nov,NA,c__Betaproteobacteria,onlyMP
S.TR17L.W.52.fa,N,3.nov,NA,c__Betaproteobacteria,onlyMP
A.TN2.nonMP.1.fa,N,4.aug,5,c__Betaproteobacteria,onlyMP
M.KN5.nonMP.32.fa,N,4.aug,NA,c__Betaproteobacteria,onlyMP
S.TN6.W.6.semibin.fa,N,4.aug,5,c__Betaproteobacteria,onlyMP
S.TR17L.W.52.fa,N,4.aug,5,c__Betaproteobacteria,onlyMP
A.IN2.nonMP.15.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
A.IN2.nonMP.7.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
A.TC2.W.16.fa,N,1.feb,5,c__Betaproteobacteria,onlyNP
A.TR12I.W.15.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
A.YL2.W.3.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
A.YL2.W.4.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
F.PR7.MP.5.fa,N,1.feb,5,c__Betaproteobacteria,onlyNP
M.TR12B.nonMP.0.semibin.fa,N,1.feb,5,c__Betaproteobacteria,onlyNP
M.TR12D.MP.2.fa,N,1.feb,5,c__Betaproteobacteria,onlyNP
M.W.TN2.5.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
M.W.TR12D.2.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
M.W.YL2.3.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
S.IN2.nonMP.21.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
S.TR12I.W.4.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
S.TSR1.nonMP.9.semibin.fa,N,1.feb,NA,c__Betaproteobacteria,onlyNP
A.IN2.nonMP.15.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
A.IN2.nonMP.7.semibin.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
A.TC2.W.16.fa,Y,4.aug,NA,c__Betaproteobacteria,onlyNP
A.TR12I.W.15.fa,N,4.aug,NA,c__Betaproteobacteria,onlyNP
A.YL2.W.3.semibin.fa,N,4.aug,NA,c__Betaproteobacteria,onlyNP
A.YL2.W.4.semibin.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
F.PR7.MP.5.fa,N,4.aug,NA,c__Betaproteobacteria,onlyNP
M.TR12B.nonMP.0.semibin.fa,N,4.aug,NA,c__Betaproteobacteria,onlyNP
M.TR12D.MP.2.fa,N,4.aug,NA,c__Betaproteobacteria,onlyNP
M.W.TN2.5.semibin.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
M.W.TR12D.2.fa,N,4.aug,NA,c__Betaproteobacteria,onlyNP
M.W.YL2.3.semibin.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
S.IN2.nonMP.21.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
S.TR12I.W.4.semibin.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
S.TSR1.nonMP.9.semibin.fa,N,4.aug,5,c__Betaproteobacteria,onlyNP
A.IN2.nonMP.15.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
A.IN2.nonMP.7.semibin.fa,N,2.may,5,c__Betaproteobacteria,onlyNP
A.TC2.W.16.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
A.TR12I.W.15.fa,N,2.may,5,c__Betaproteobacteria,onlyNP
A.YL2.W.3.semibin.fa,N,2.may,5,c__Betaproteobacteria,onlyNP
A.YL2.W.4.semibin.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
F.PR7.MP.5.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
M.TR12B.nonMP.0.semibin.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
M.TR12D.MP.2.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
M.W.TN2.5.semibin.fa,N,2.may,5,c__Betaproteobacteria,onlyNP
M.W.TR12D.2.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
M.W.YL2.3.semibin.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
S.IN2.nonMP.21.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
S.TR12I.W.4.semibin.fa,N,2.may,5,c__Betaproteobacteria,onlyNP
S.TSR1.nonMP.9.semibin.fa,N,2.may,NA,c__Betaproteobacteria,onlyNP
A.IN2.nonMP.15.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
A.IN2.nonMP.7.semibin.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
A.TC2.W.16.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
A.TR12I.W.15.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
A.YL2.W.3.semibin.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
A.YL2.W.4.semibin.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
F.PR7.MP.5.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
M.TR12B.nonMP.0.semibin.fa,N,3.nov,5,c__Betaproteobacteria,onlyNP
M.TR12D.MP.2.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
M.W.TN2.5.semibin.fa,N,3.nov,5,c__Betaproteobacteria,onlyNP
M.W.TR12D.2.fa,N,3.nov,5,c__Betaproteobacteria,onlyNP
M.W.YL2.3.semibin.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
S.IN2.nonMP.21.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
S.TR12I.W.4.semibin.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
S.TSR1.nonMP.9.semibin.fa,N,3.nov,NA,c__Betaproteobacteria,onlyNP
A.TR12I.nonMP.33.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyMP
A.TR17L.nonMP.6.fa,Y,1.feb,5,c__Gammaproteobacteria,onlyMP
A.YL2.MP.12.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyMP
M.KN5.nonMP.16.fa,N,1.feb,5,c__Gammaproteobacteria,onlyMP
S.TR12I.MP.13.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyMP
A.TR12I.nonMP.33.fa,N,2.may,NA,c__Gammaproteobacteria,onlyMP
A.TR17L.nonMP.6.fa,N,2.may,NA,c__Gammaproteobacteria,onlyMP
A.YL2.MP.12.fa,N,2.may,NA,c__Gammaproteobacteria,onlyMP
M.KN5.nonMP.16.fa,Y,2.may,NA,c__Gammaproteobacteria,onlyMP
S.TR12I.MP.13.fa,N,2.may,NA,c__Gammaproteobacteria,onlyMP
A.TR12I.nonMP.33.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyMP
A.TR17L.nonMP.6.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyMP
A.YL2.MP.12.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyMP
M.KN5.nonMP.16.fa,Y,3.nov,NA,c__Gammaproteobacteria,onlyMP
S.TR12I.MP.13.fa,Y,3.nov,5,c__Gammaproteobacteria,onlyMP
A.TR12I.nonMP.33.fa,N,4.aug,5,c__Gammaproteobacteria,onlyMP
A.TR17L.nonMP.6.fa,Y,4.aug,5,c__Gammaproteobacteria,onlyMP
A.YL2.MP.12.fa,N,4.aug,5,c__Gammaproteobacteria,onlyMP
M.KN5.nonMP.16.fa,N,4.aug,NA,c__Gammaproteobacteria,onlyMP
S.TR12I.MP.13.fa,N,4.aug,5,c__Gammaproteobacteria,onlyMP
A.YL4.W.16.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
F.W.TR12I.semibin.2.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
M.TR17L.MP.21.fa,N,1.feb,5,c__Gammaproteobacteria,onlyNP
M.W.DB2.1.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
M.W.TN6.4.semibin.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
S.KN5.W.10.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
S.PR7.nonMP.4.semibin.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
S.PR7.W.15.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
S.TN6.W.10.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
S.TSR1.nonMP.14.fa,N,1.feb,NA,c__Gammaproteobacteria,onlyNP
A.YL4.W.16.fa,N,4.aug,5,c__Gammaproteobacteria,onlyNP
F.W.TR12I.semibin.2.fa,N,4.aug,NA,c__Gammaproteobacteria,onlyNP
M.TR17L.MP.21.fa,N,4.aug,NA,c__Gammaproteobacteria,onlyNP
M.W.DB2.1.fa,N,4.aug,5,c__Gammaproteobacteria,onlyNP
M.W.TN6.4.semibin.fa,N,4.aug,5,c__Gammaproteobacteria,onlyNP
S.KN5.W.10.fa,N,4.aug,NA,c__Gammaproteobacteria,onlyNP
S.PR7.nonMP.4.semibin.fa,N,4.aug,5,c__Gammaproteobacteria,onlyNP
S.PR7.W.15.fa,N,4.aug,5,c__Gammaproteobacteria,onlyNP
S.TN6.W.10.fa,N,4.aug,5,c__Gammaproteobacteria,onlyNP
S.TSR1.nonMP.14.fa,N,4.aug,5,c__Gammaproteobacteria,onlyNP
A.YL4.W.16.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
F.W.TR12I.semibin.2.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
